date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD
28.02.2002;-6.96%;-0.78%;-1.74%;-5.10%;4.73%;-0.76%;2.68%;4.31%;10.19%;-4.64%;0.81%;6.44%;3.48%;0.89%;-0.59%;2.14%;9.43%;2.16%;-11.58%;-1.74%;3.37%;5.91%;5.24%;-2.20%;5.59%;-25.62%;-15.68%;-0.05%;1.88%;14.37%;-7.44%;-5.65%;4.70%;2.64%;5.55%;-0.93%;2.47%;-6.45%;5.58%;8.99%;-5.86%;13.71%;12.09%;4.03%;0.25%;-0.28%;5.56%;7.43%;0.50%;4.86%
31.03.2002;10.76%;0.82%;14.88%;4.80%;6.36%;7.15%;4.60%;8.45%;14.26%;5.37%;0.10%;-5.49%;3.84%;9.72%;3.98%;5.88%;10.76%;9.95%;17.76%;-4.71%;1.90%;0.12%;6.65%;20.76%;3.22%;8.15%;21.00%;-1.07%;1.82%;-4.64%;10.94%;13.57%;5.42%;11.68%;7.73%;13.36%;2.38%;6.27%;-0.54%;-2.90%;9.10%;-7.98%;17.54%;-1.26%;7.76%;5.48%;7.11%;-4.77%;-10.21%;-4.55%
30.04.2002;22.05%;-4.89%;1.21%;-1.01%;-6.75%;-4.55%;0.13%;7.74%;-10.06%;-14.60%;11.66%;2.50%;-9.27%;0.68%;3.86%;8.21%;-8.89%;0.96%;-13.83%;-3.85%;6.83%;1.34%;3.68%;4.90%;-2.96%;-31.16%;-8.03%;-5.73%;2.11%;6.91%;-11.52%;-8.88%;0.77%;-3.52%;-4.89%;-11.19%;6.88%;-7.69%;-7.11%;2.51%;-7.68%;0.35%;-16.58%;-3.35%;24.73%;-4.42%;1.25%;5.35%;5.58%;-3.07%
31.05.2002;-3.90%;9.51%;7.42%;4.55%;4.23%;-5.76%;5.04%;-3.30%;-13.63%;-6.85%;-5.78%;-5.10%;-4.62%;3.08%;0.27%;2.67%;4.74%;0.15%;-6.54%;3.49%;1.53%;-1.21%;-1.72%;1.52%;5.63%;-10.74%;4.21%;-5.98%;-0.67%;1.71%;-2.59%;13.92%;-7.81%;-7.78%;9.17%;-6.16%;2.05%;-15.19%;-0.39%;-4.17%;-9.24%;-8.53%;-17.95%;3.79%;2.13%;3.33%;-3.44%;1.92%;7.24%;21.43%
30.06.2002;4.60%;-11.90%;-0.43%;-1.75%;0.51%;-17.36%;-2.69%;2.40%;-9.52%;-38.23%;-5.95%;6.27%;-1.42%;-4.75%;-3.53%;-9.03%;1.28%;4.76%;-8.67%;-2.29%;1.00%;-5.48%;-2.88%;-12.43%;-11.74%;-1.08%;7.88%;-6.42%;2.68%;-6.22%;-15.10%;-2.57%;-5.26%;-1.65%;8.96%;-5.72%;-8.40%;-4.49%;-5.46%;2.85%;-3.92%;-3.26%;-13.35%;-8.09%;-19.92%;-2.57%;2.46%;-4.14%;-11.65%;-9.83%
31.07.2002;-8.03%;-8.67%;-1.99%;2.99%;-12.10%;-10.36%;-5.37%;-13.57%;-2.57%;-26.20%;-6.86%;-14.86%;-16.29%;-7.31%;2.48%;-23.09%;-4.73%;-5.60%;-12.58%;-8.03%;0.15%;-5.28%;2.32%;-11.76%;-7.16%;-15.01%;-10.99%;-12.79%;-3.89%;-22.95%;-9.44%;-14.06%;-10.63%;-14.07%;-7.42%;-14.53%;-7.56%;-20.39%;-8.64%;-2.00%;-4.80%;-12.15%;-36.32%;-7.82%;0.58%;0.14%;-9.49%;-0.51%;-8.82%;-10.68%
31.08.2002;6.29%;4.05%;-2.69%;0.66%;5.87%;-9.21%;1.42%;-1.04%;-7.91%;29.91%;3.25%;-6.63%;-2.25%;4.62%;-5.18%;-8.69%;1.10%;3.39%;-5.01%;7.18%;-1.24%;3.17%;2.14%;-16.09%;0.31%;-1.27%;-10.06%;1.64%;0.02%;4.07%;7.17%;-10.51%;11.01%;-0.63%;-2.11%;-13.32%;-0.57%;16.96%;3.87%;8.37%;1.79%;-3.49%;-15.81%;-3.65%;20.88%;-2.74%;0.75%;1.32%;1.53%;11.53%
30.09.2002;-6.81%;3.00%;0.31%;-5.59%;-10.59%;-15.96%;-1.94%;-10.59%;-20.09%;-22.26%;15.52%;-10.18%;-11.39%;-5.29%;-0.01%;-16.67%;-15.07%;-6.50%;7.13%;-8.69%;-0.14%;-8.41%;-10.05%;-8.98%;-8.49%;-24.32%;-0.81%;-17.68%;-1.29%;0.16%;-11.89%;-24.40%;-0.90%;-17.05%;-20.12%;-8.51%;-11.00%;-0.86%;-18.10%;1.40%;-10.94%;-5.79%;-24.25%;-6.91%;15.40%;-2.25%;1.51%;-9.39%;2.60%;6.03%
31.10.2002;-22.87%;8.73%;-0.95%;-1.70%;5.59%;-18.24%;-2.61%;7.29%;1.30%;-2.99%;0.81%;3.35%;-1.32%;12.07%;5.70%;0.36%;-4.00%;-2.64%;2.87%;8.68%;-0.79%;4.36%;4.69%;25.98%;5.08%;6.33%;17.44%;-0.27%;-5.40%;7.71%;-7.44%;11.58%;3.84%;2.53%;5.07%;5.09%;1.58%;11.74%;13.22%;-0.39%;7.25%;-1.06%;26.01%;-7.33%;-11.24%;21.77%;2.19%;9.09%;1.19%;4.17%
30.11.2002;21.91%;-2.25%;1.23%;2.23%;-0.07%;27.74%;3.72%;1.22%;31.10%;26.96%;5.92%;-0.64%;23.76%;-1.81%;-6.74%;10.23%;7.56%;7.34%;12.86%;-2.49%;3.45%;3.88%;3.37%;11.21%;13.51%;8.18%;-0.77%;16.50%;8.03%;14.93%;11.02%;19.10%;10.44%;14.33%;6.37%;17.54%;27.07%;9.39%;14.81%;6.76%;8.65%;10.91%;35.22%;12.34%;15.98%;-1.47%;1.24%;3.41%;13.10%;-13.02%
