date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD
31.01.2004;0.027227929;0.005259475;0.002399017;0.004963258;0.0111326;-0.002437653;0.007542136;0.003832354;0.018194922;-0.013920791;0.025442181;0.038183346;0.006724096;0.005065626;0.006762168;0.014321122;0.001546671;0.009035984;0.009758891;0.008230759;0.025312294;0.005734025;0.013267581;0.059991772;0.011587281;-0.012055914;0.047776601;0.002241646;0.01838365;0.03328045;-0.009821555;0.020368345;0.02890799;0.001783378;0.015262077;0.006813507;0.051620078;0.018839224;0.012196741;0.016423271;0.001136933;0.012333345;0.014551543;0.004391426;0.052515462;0.018559116;0.004247162;0.00395884;0.021496593;0.018681298
29.02.2004;0.024583696;0.006521149;0.008459615;0.010108762;0.012169001;-0.003119772;0.010845485;0.008079438;0.020111051;-0.0103736;0.027249024;0.038982942;0.007770988;0.007771242;0.010079842;0.018892217;0.003422803;0.009950007;0.009871162;0.013680368;0.026212715;0.009951214;0.01452562;0.051477161;0.014474826;-0.006040742;0.043824091;0.006834252;0.019083881;0.029014163;-0.006935492;0.019878227;0.025403808;0.004250705;0.013153474;0.007394529;0.049722577;0.01433155;0.010037119;0.020821013;0.005237212;0.009847799;0.012062271;0.006246359;0.05141346;0.025732905;0.005824953;0.007769804;0.023968432;0.015558805
31.03.2004;0.021181564;0.007107096;0.009310628;0.007519708;0.006869043;-0.006297148;0.010596441;0.007201794;0.015170226;-0.0154089;0.025251573;0.040100432;0.004233118;0.007278253;0.008952891;0.015651941;8.04456E-06;0.010221308;0.009494764;0.013490451;0.026485262;0.011566944;0.01497759;0.053932096;0.010687283;-0.003548472;0.044541977;0.005592878;0.020457972;0.032654154;-0.007351892;0.01609457;0.026733537;-6.2657E-05;0.007787268;0.003137477;0.047587176;0.010324519;0.008290914;0.021197295;0.004418143;0.007397239;0.008839792;0.005721319;0.052101001;0.018112046;0.007691698;0.007263352;0.021078291;0.01946258
30.04.2004;0.01725527;0.009322421;0.010665791;0.006931365;0.008071687;-0.006397968;0.013091395;0.004743804;0.017127058;-0.020437013;0.024797959;0.040465698;0.003569999;0.004188557;0.008746298;0.020470808;-3.79738E-05;0.012136945;0.01271179;0.0136121;0.029322612;0.008451103;0.014263584;0.05888092;0.012209595;-0.005994105;0.043057286;0.005121233;0.020215152;0.032409575;-0.00769169;0.015034558;0.026737226;-0.000911403;0.008766099;0.003363186;0.057293581;0.010235442;0.005658923;0.021698677;0.003575652;0.010243529;0.001434725;0.001508218;0.048377655;0.021578503;0.006163794;0.006384758;0.025494787;0.020496992
31.05.2004;0.01981844;0.014909983;0.009136525;0.006004901;0.00698507;-0.002631191;0.009543346;0.005369278;0.01952327;-0.017383191;0.026804802;0.034657804;0.0058465;0.00248139;0.006829571;0.027711824;0.000301279;0.011634203;0.00953049;0.012040785;0.023845162;0.009796471;0.013025037;0.054372336;0.01520597;-0.002048215;0.046806288;0.004626708;0.016912185;0.029078276;-0.007817356;0.011781912;0.032413835;-0.001258974;0.007739398;0.006220898;0.049268913;0.009321147;0.010777683;0.022363078;0.002189232;0.009969902;0.000203886;0.003609017;0.046517155;0.022008244;0.006887065;0.006781396;0.019851769;0.019153225
30.06.2004;0.022688668;0.009694614;0.007533613;0.004582211;0.004594029;-0.005173189;0.010706401;0.004052799;0.018011176;-0.015134442;0.02666291;0.038805878;0.002630537;0.001490604;0.004283349;0.025784276;0.004138272;0.013767256;0.008601459;0.011691479;0.024091449;0.010857559;0.014990809;0.054500378;0.014520243;-0.013808426;0.044389815;0.004309814;0.017901067;0.028507837;-0.007903221;0.014387259;0.030210499;-0.00016385;0.006641048;0.006385626;0.049127128;0.01224734;0.010738039;0.021794172;0.00023514;0.009263596;0.002257723;-0.002055854;0.033639328;0.022462643;0.006456178;0.003334613;0.02157584;0.017796917
31.07.2004;0.022773187;0.010187602;0.008176353;0.004582562;0.005763603;-0.003918428;0.010045074;0.005786626;0.020700755;-0.014707763;0.027098005;0.034243904;0.006609425;0.00025422;0.004184316;0.025741296;0.004739623;0.013124512;0.012698749;0.008897891;0.025317596;0.008407404;0.012265838;0.04958626;0.014287004;-0.018841326;0.049222083;0.001515494;0.017928769;0.024379715;-0.008151791;0.018398967;0.03216153;0.000465992;0.008499026;0.009598035;0.057531797;0.012587403;0.013731162;0.018684278;0.002117057;0.006603067;0.00297514;-0.001007993;0.036046041;0.018662755;0.005724364;0.008885035;0.022834165;0.017958858
31.08.2004;0.0209606;0.007673022;0.009311918;0.008238996;0.008919026;-0.00658672;0.013472337;0.003860052;0.023283386;-0.012436618;0.027283377;0.028302296;0.006917577;0.002863928;0.005142451;0.020638913;0.00657534;0.011538958;0.012974207;0.011895583;0.02451637;0.007159245;0.010825775;0.050950663;0.01441403;-0.016495161;0.042055508;0.000532774;0.016512084;0.018136166;-0.009315566;0.022469996;0.026528716;0.004051248;0.006223809;0.007525749;0.073519241;0.015476692;0.010077664;0.015204206;-0.003080388;0.004256126;-0.001370769;0.002008126;0.035391744;0.01946725;0.010250121;0.007472824;0.018435872;0.017181396
30.09.2004;0.017038415;0.005729035;0.011066204;0.007447523;0.006693766;-0.008876869;0.013608362;0.002878154;0.021560061;-0.011841551;0.024649673;0.031639959;0.003164393;0.002231688;0.005158418;0.019965216;0.00945265;0.013497283;0.018460075;0.009971726;0.024724975;0.005052407;0.010473366;0.043100081;0.008143246;-0.016247886;0.037170922;-4.60017E-05;0.018553968;0.017012102;-0.006547237;0.017009311;0.026211529;0.00217664;0.005299874;0.002040861;0.028334979;0.010318083;0.008810425;0.016469836;-0.001131232;0.004145905;-0.01310021;0.001024369;0.039121412;0.017768182;0.008134631;0.007140174;0.022046073;0.01540385
31.10.2004;0.014088629;0.006713767;0.010171209;0.008035294;0.007835922;-0.013294914;0.013517013;0.000274302;0.022816277;-0.016513934;0.031743728;0.035113344;0.004406503;0.001474279;0.005095929;0.017636319;0.009320846;0.013445289;0.018437335;0.006343933;0.024629481;0.006314619;0.010776627;0.04281134;0.0146022;-0.006736711;0.049014244;-0.001423839;0.016527667;0.019975839;-0.010118679;0.021374261;0.026576869;0.002307653;0.007839239;0.003425707;0.027350352;0.010855313;0.004287381;0.017135086;-0.004949457;0.004388841;-0.009851448;0.003113256;0.054889855;0.024546028;0.007268469;0.009504678;0.015914079;0.014985071
30.11.2004;0.019319596;0.007963394;0.010456416;0.008028107;0.006469814;-0.010903744;0.017642391;0.003690324;0.02321774;-0.018231245;0.031880575;0.030990011;0.002583296;0.002840656;0.006842573;0.02011199;0.010318644;0.01722566;0.019144316;0.007742676;0.027349332;0.008270165;0.012744616;0.024337936;0.015854731;-0.006231944;0.050639497;-0.000449954;0.018372025;0.017557025;-0.007507832;0.018693431;0.026984885;0.001658857;0.007409383;0.003926799;0.031351712;0.008500618;0.001226131;0.009232192;-0.003056063;0.004834681;-0.007414137;0.003753278;0.0294066;0.025782855;0.00808539;0.008194109;0.011012973;0.014056652
31.12.2004;0.019856331;0.008402796;0.009010551;0.008006453;0.005556821;-0.01113067;0.016804898;0.005091091;0.023944228;-0.015902288;0.03356591;0.030086614;0.001406216;0.004080682;0.007630941;0.020370391;0.011754679;0.017697832;0.015740609;0.009040747;0.027703678;0.007561464;0.012194572;0.026718667;0.017547824;-0.011417552;0.043740854;-0.001248556;0.017347304;0.017480698;-0.00737477;0.021535519;0.026966541;0.003445418;0.007043075;-0.001696323;0.03070686;0.009512221;1.18819E-06;0.008663745;-0.00602469;0.004554412;-0.009607362;0.002711078;0.031029543;0.019806435;0.011558973;0.003654011;0.010166807;0.017552438
31.01.2005;0.017074126;0.011227257;0.013267194;0.007828418;0.004835051;-0.010198289;0.018013965;0.004763233;0.022735359;-0.018193845;0.03027739;0.029097891;0.001598624;0.002968241;0.006265099;0.020051959;0.012503636;0.017599219;0.014214907;0.005883358;0.027685896;0.008418489;0.010832593;0.032173476;0.013738753;-0.013879314;0.038334641;-0.001994892;0.017803367;0.012772092;-0.008275599;0.018538734;0.025201845;0.003083103;0.007922454;0.000154131;0.029038181;0.003722436;-0.000391527;0.009372039;-0.003903054;0.002268716;-0.013220097;0.002706802;0.026485129;0.02067407;0.009364647;0.00296678;0.01361748;0.019128251
28.02.2005;0.00670024;0.014880723;0.011287557;0.007498343;0.006037878;-0.011345742;0.015872586;0.004700999;0.021853605;-0.015433462;0.034677522;0.024701727;-0.001299915;0.004282233;0.005919284;0.020388468;0.010051023;0.015219811;0.009013765;0.004415993;0.023148374;0.008327712;0.008304083;0.030164424;0.013145159;-0.008989833;0.032523939;-0.003537899;0.016167502;0.01221476;-0.009818262;0.017644686;0.022557663;0.00300842;0.010266598;0.002252374;0.031395632;0.002651118;-2.36889E-05;0.01190841;-0.006796488;0.003168041;-0.016996468;0.004984395;0.022694556;0.018959718;0.010084296;0.001462262;0.005722;0.016867607
31.03.2005;0.007314199;0.0140401;0.010647268;0.009279539;0.005411054;-0.011215381;0.015522289;0.002921014;0.015382061;-0.013235426;0.036270017;0.02421079;-0.003777736;0.003620519;0.005283162;0.018647465;0.007904115;0.014076895;0.009190158;0.005342416;0.023645997;0.004615016;0.005583285;0.029360555;0.01094013;-0.004983587;0.037937471;-0.004565603;0.015266929;0.007135781;-0.01017701;0.020155995;0.023917021;0.001420245;0.008835692;-0.00050179;0.03219108;0.005988907;-0.003317388;0.010448376;-0.007250875;-0.00276904;-0.021701924;0.003403847;0.023384679;0.019506285;0.00784771;-0.000963943;0.006938545;0.01590845
30.04.2005;0.008318982;0.015738312;0.006434933;0.007153021;0.005278016;-0.012280746;0.01514071;0.001149139;0.013325834;-0.007976605;0.033037661;0.024304517;-0.003001388;0.002728152;0.00428792;0.020589552;0.007288858;0.010980686;0.006284074;0.00807231;0.022314981;0.005652041;0.006440479;0.023269363;0.012478753;-0.009546404;0.03188788;-0.003100672;0.014652104;0.008233179;-0.009947627;0.017288838;0.022277814;0.000427329;0.008206177;-0.003393328;0.030527635;0.006963007;-0.001901251;0.012299433;-0.007567579;0.00023861;-0.022483199;0.004741969;0.023630423;0.021207374;0.006297265;0.001662889;0.01018313;0.017483167
