Date,Top Performers,Bottom Performers
2004-01,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-02,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-03,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-04,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-05,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-06,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-07,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-08,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-09,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-10,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-11,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-12,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2005-01,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-02,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-03,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-04,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-05,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-06,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-07,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-08,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-09,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-10,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-11,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-12,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2006-01,"EIX, HOLX, ROK, FRT, DHI, CMI, BXP, ROL, COO, NUE","DTE, MHK, SWK, PPG, AOS, AVY, DOV, CMS, INCY, TER"
2006-02,"EIX, HOLX, ROK, FRT, DHI, CMI, BXP, ROL, COO, NUE","DTE, MHK, SWK, PPG, AOS, AVY, DOV, CMS, INCY, TER"
