Date,Top Performers,Bottom Performers
2002-02,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-03,"ESS, DTE, STT, CINF, INCY, TTWO, PPG, BAX, ATO, HBAN","DHI, AVY, FE, MHK, CHD, SJM, BRO, VMC, LNC, SNA"
2002-04,"EIX, CINF, MHK, ROK, FRT, BRO, AVY, HOLX, ED, HBAN","VMC, CHD, IEX, TER, CMS, FDS, NTRS, RHI, CMI, AEE"
2002-05,"ADM, PPG, AFL, BRO, IEX, BXP, EMN, AEE, APD, JBHT","CINF, NTRS, TER, ROP, CMI, INCY, HBAN, GL, MAA, SNA"
2002-06,"PPG, JBHT, DHI, ESS, AOS, SJM, MAA, ATO, CINF, EMN","TER, HOLX, ADM, IEX, BRO, AEE, PNW, DOV, INCY, AFL"
2002-07,"AEE, ED, HBAN, TTWO, FRT, ROL, ATO, NTRS, BRO, ADM","FDS, SWK, APD, HOLX, JBHT, CHD, POOL, BAX, AFL, AVY"
2002-08,"SJM, FE, NTRS, AOS, APD, DTE, MHK, ADM, SNA, ESS","HOLX, TER, RHI, NUE, JBHT, INCY, FRT, CINF, PNW, ROK"
2002-09,"FDS, CHD, ADM, BRO, COO, TTWO, ATO, SJM, AFL, MHK","CINF, DHI, HBAN, BXP, MAA, POOL, ROP, JBHT, FRT, ED"
2002-10,"AVY, ADM, FE, MHK, CINF, STT, INCY, ED, APD, RHI","BXP, BAX, TTWO, AEE, DOV, SWK, AFL, FRT, SJM, LNC"
2002-11,"ROP, STT, INCY, MAA, EMN, ESS, SJM, PPG, COO, TER","CINF, ED, FE, ADM, CHD, DTE, ROL, JBHT, DHI, APD"
2002-12,"ROL, ED, EIX, JBHT, PNW, ATO, FE, DTE, FRT, SJM","BAX, HOLX, COO, LNC, MAA, GL, ROK, BXP, ESS, VMC"
2003-01,"DHI, AFL, EIX, BAX, COO, HBAN, LNC, ROL, ROK, STT","PPG, APD, NTRS, HOLX, CMI, IEX, DOV, AVY, GL, BXP"
