Date,Top Performers,Bottom Performers
2004-01,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT","CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-02,"HOLX, TTWO, ROK, JBHT, DHI, MHK, COO, FRT, ROL, POOL","ADM, VMC, ATO, STT, PNW, EMN, BAX, INCY, NTRS, CMS"
2004-03,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, FRT, COO, SJM","LNC, STT, DOV, RHI, EMN, PNW, INCY, BAX, NTRS, CMS"
2004-04,"HOLX, ROK, TTWO, JBHT, DHI, MHK, FRT, POOL, BRO, COO","DOV, RHI, VMC, TER, EMN, PNW, INCY, BAX, NTRS, CMS"
2004-05,"HOLX, ROK, JBHT, TTWO, DHI, POOL, MHK, EIX, COO, FRT","VMC, DTE, STT, EMN, TER, PNW, INCY, BAX, NTRS, CMS"
2004-06,"HOLX, ROK, JBHT, DHI, TTWO, POOL, MHK, COO, EIX, FRT","DOV, TER, DTE, STT, PNW, VMC, BAX, NTRS, INCY, CMS"
2004-07,"ROK, HOLX, JBHT, TTWO, DHI, POOL, COO, EIX, FRT, MHK","TER, STT, LNC, PNW, DTE, VMC, BAX, NTRS, CMS, INCY"
2004-08,"ROK, HOLX, JBHT, TTWO, DHI, COO, POOL, FRT, CMI, NUE","CINF, DTE, VMC, LNC, TER, STT, BAX, NTRS, CMS, INCY"
2004-09,"HOLX, TTWO, JBHT, DHI, ROK, POOL, FRT, COO, BRO, CMI","PNW, RHI, VMC, LNC, STT, NTRS, BAX, CMS, TER, INCY"
2004-10,"TTWO, JBHT, HOLX, DHI, COO, ROK, POOL, FRT, ROL, CMI","PNW, DTE, CINF, LNC, STT, INCY, TER, NTRS, BAX, CMS"
2004-11,"JBHT, COO, ROK, DHI, TTWO, FRT, POOL, ROL, HOLX, CMI","DOV, PNW, SNA, LNC, STT, INCY, TER, NTRS, BAX, CMS"
2004-12,"JBHT, COO, TTWO, ROK, DHI, FRT, POOL, HOLX, CMI, NUE","DOV, SNA, LNC, RHI, STT, NTRS, TER, BAX, INCY, CMS"
2005-01,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL","DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-02,"COO, JBHT, ROK, HOLX, DHI, FRT, TTWO, POOL, CMI, EIX","AVY, SNA, DOV, LNC, STT, INCY, NTRS, BAX, CMS, TER"
2005-03,"JBHT, COO, ROK, HOLX, DHI, POOL, FRT, TTWO, NUE, ROL","SWK, SNA, DOV, LNC, INCY, STT, NTRS, BAX, CMS, TER"
2005-04,"COO, JBHT, ROK, DHI, TTWO, HOLX, FRT, POOL, ROL, EIX","SNA, DOV, LNC, RHI, STT, CMS, INCY, NTRS, BAX, TER"
2005-05,"JBHT, COO, ROL, DHI, HOLX, FRT, ROK, POOL, EIX, CHD","LNC, CINF, INCY, RHI, STT, AVY, CMS, NTRS, BAX, TER"
2005-06,"JBHT, COO, DHI, POOL, ROL, FRT, ROK, HOLX, EIX, MAA","DOV, LNC, STT, CINF, RHI, AVY, NTRS, CMS, BAX, TER"
2005-07,"COO, FRT, ROL, POOL, DHI, HOLX, JBHT, ROK, EIX, TTWO","STT, AOS, NTRS, AVY, RHI, BAX, CINF, DOV, INCY, TER"
2005-08,"COO, EIX, FRT, DHI, POOL, ROL, JBHT, HOLX, BXP, ROK","LNC, NTRS, SNA, PPG, AOS, BAX, AVY, STT, INCY, TER"
2005-09,"EIX, COO, HOLX, FRT, DHI, JBHT, ROL, POOL, ROK, BXP","CINF, SNA, PPG, EMN, AOS, NTRS, STT, AVY, INCY, TER"
2005-10,"EIX, HOLX, ROL, COO, FRT, ROK, DHI, CMI, JBHT, BXP","EMN, TTWO, MHK, DOV, NTRS, AOS, AVY, STT, TER, INCY"
2005-11,"EIX, HOLX, FRT, ROK, ROL, CMI, COO, JBHT, BXP, POOL","NTRS, CMS, SNA, STT, MHK, TTWO, DOV, AVY, INCY, TER"
2005-12,"EIX, HOLX, FRT, ROL, JBHT, ROK, DHI, BXP, CMI, POOL","NTRS, SNA, MHK, STT, AVY, CMS, DOV, TTWO, INCY, TER"
2006-01,"EIX, HOLX, ROK, FRT, DHI, CMI, BXP, ROL, COO, NUE","DTE, MHK, SWK, PPG, AOS, AVY, DOV, CMS, INCY, TER"
2006-02,"HOLX, EIX, CMI, NUE, FRT, BXP, POOL, COO, JBHT, BRO","ATO, STT, SJM, NTRS, AVY, MHK, PPG, DOV, TER, INCY"
2006-03,"HOLX, EIX, CMI, POOL, JBHT, BXP, BRO, ROP, NUE, FRT","SJM, SNA, MHK, NTRS, PPG, BAX, AVY, DOV, INCY, TER"
