Date,Top Performers,Bottom Performers
2002-02,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-03,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-04,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-05,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-06,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-07,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-08,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-09,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-10,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-11,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-12,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2003-01,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN, CHD, APD, POOL, CINF, VMC, DOV, FRT, BXP, PNW, ROK, ESS, EIX, MHK, SWK, TER","CMI, MAA, DTE, COO, BRO, TTWO, NTRS, AOS, ROP, STT, NUE, AEE, CMS, INCY, HOLX, JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2003-02,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-03,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-04,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-05,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-06,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-07,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-08,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-09,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-10,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-11,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-12,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2004-01,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS, BAX, MAA, EIX, ADM, STT, VMC, APD, MHK, NTRS, EMN, FDS, FE, ATO, PPG, IEX","DHI, AVY, AFL, BRO, SWK, CMI, HOLX, INCY, CMS, DOV, ED, SNA, ROP, SJM, RHI, LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2004-02,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS, CHD, JBHT, CINF, HBAN, DTE, FE, ATO, SNA, FRT, IEX, BXP, SWK, MHK, HOLX, DHI","POOL, NUE, GL, AFL, AVY, ESS, PPG, ED, PNW, ROP, AOS, TER, ROL, ROK, DOV, RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-03,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS, CHD, JBHT, CINF, HBAN, DTE, FE, ATO, SNA, FRT, IEX, BXP, SWK, MHK, HOLX, DHI","POOL, NUE, GL, AFL, AVY, ESS, PPG, ED, PNW, ROP, AOS, TER, ROL, ROK, DOV, RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-04,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS, CHD, JBHT, CINF, HBAN, DTE, FE, ATO, SNA, FRT, IEX, BXP, SWK, MHK, HOLX, DHI","POOL, NUE, GL, AFL, AVY, ESS, PPG, ED, PNW, ROP, AOS, TER, ROL, ROK, DOV, RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
