Date,Top Performers,Bottom Performers
2004-01,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, AOS, COO, FRT, BRO, NUE, ROP, CHD, ROL, MAA, CMI, SJM, PPG, TER, EIX, HBAN, SWK, SNA, IEX","APD, FDS, ESS, FE, BXP, RHI, ED, DOV, GL, ADM, DTE, AEE, VMC, ATO, AVY, CINF, AFL, LNC, PNW, EMN, STT, BAX, NTRS, INCY, CMS"
2004-02,"HOLX, TTWO, ROK, JBHT, DHI, MHK, COO, FRT, ROL, POOL, AOS, BRO, SJM, CMI, NUE, MAA, EIX, CHD, HBAN, IEX, ROP, FE, PPG, APD, TER","BXP, AEE, ED, SNA, GL, ESS, FDS, SWK, AFL, CINF, DTE, DOV, AVY, RHI, LNC, ADM, VMC, ATO, STT, PNW, EMN, BAX, INCY, NTRS, CMS"
2004-03,"HOLX, TTWO, ROK, JBHT, DHI, MHK, POOL, FRT, COO, SJM, AOS, BRO, MAA, CHD, ROL, NUE, EIX, CMI, HBAN, FE, GL, IEX, BXP, ROP, ESS","FDS, AFL, ED, TER, SNA, PPG, ATO, AEE, SWK, DTE, AVY, CINF, ADM, APD, VMC, LNC, STT, DOV, RHI, EMN, PNW, INCY, BAX, NTRS, CMS"
2004-04,"HOLX, ROK, TTWO, JBHT, DHI, MHK, FRT, POOL, BRO, COO, SJM, ROL, CHD, EIX, MAA, AOS, CMI, NUE, HBAN, FE, BXP, FDS, IEX, ESS, AFL","SWK, ROP, ADM, PPG, ED, GL, APD, AEE, AVY, ATO, SNA, LNC, CINF, DTE, STT, DOV, RHI, VMC, TER, EMN, PNW, INCY, BAX, NTRS, CMS"
2004-05,"HOLX, ROK, JBHT, TTWO, DHI, POOL, MHK, EIX, COO, FRT, SJM, ROL, BRO, AOS, CMI, CHD, MAA, IEX, ADM, HBAN, FE, NUE, ESS, SNA, SWK","GL, BXP, FDS, ROP, AFL, PPG, APD, ATO, ED, AVY, RHI, AEE, DOV, CINF, LNC, VMC, DTE, STT, EMN, TER, PNW, INCY, BAX, NTRS, CMS"
2004-06,"HOLX, ROK, JBHT, DHI, TTWO, POOL, MHK, COO, EIX, FRT, AOS, ROL, SJM, BRO, CMI, MAA, CHD, HBAN, IEX, NUE, ESS, ROP, FE, GL, SNA","BXP, ADM, SWK, FDS, AFL, PPG, ATO, RHI, APD, AEE, LNC, ED, EMN, CINF, AVY, DOV, TER, DTE, STT, PNW, VMC, BAX, NTRS, INCY, CMS"
2004-07,"ROK, HOLX, JBHT, TTWO, DHI, POOL, COO, EIX, FRT, MHK, BRO, AOS, CMI, SJM, ROL, NUE, CHD, MAA, IEX, SNA, ESS, FDS, ROP, HBAN, ADM","BXP, RHI, FE, AVY, PPG, GL, AFL, DOV, SWK, CINF, APD, ATO, EMN, AEE, ED, TER, STT, LNC, PNW, DTE, VMC, BAX, NTRS, CMS, INCY"
2004-08,"ROK, HOLX, JBHT, TTWO, DHI, COO, POOL, FRT, CMI, NUE, AOS, EIX, ROL, BRO, MHK, CHD, MAA, ROP, SJM, IEX, BXP, FDS, FE, ESS, HBAN","ATO, SNA, AFL, APD, AEE, ADM, RHI, AVY, GL, DOV, EMN, PPG, ED, SWK, PNW, CINF, DTE, VMC, LNC, TER, STT, BAX, NTRS, CMS, INCY"
2004-09,"HOLX, TTWO, JBHT, DHI, ROK, POOL, FRT, COO, BRO, CMI, EIX, MAA, FDS, ROL, AOS, MHK, NUE, SJM, CHD, BXP, ESS, AFL, HBAN, ROP, FE","EMN, SNA, IEX, ATO, AEE, AVY, APD, ADM, PPG, ED, GL, SWK, DOV, CINF, DTE, PNW, RHI, VMC, LNC, STT, NTRS, BAX, CMS, TER, INCY"
2004-10,"TTWO, JBHT, HOLX, DHI, COO, ROK, POOL, FRT, ROL, CMI, NUE, MHK, FDS, EIX, SJM, MAA, BRO, CHD, IEX, AOS, BXP, ESS, ROP, HBAN, AFL","AVY, EMN, AEE, PPG, APD, ATO, ADM, FE, GL, ED, DOV, SWK, SNA, RHI, VMC, PNW, DTE, CINF, LNC, STT, INCY, TER, NTRS, BAX, CMS"
2004-11,"JBHT, COO, ROK, DHI, TTWO, FRT, POOL, ROL, HOLX, CMI, EIX, AOS, FDS, NUE, MAA, BXP, MHK, ESS, IEX, CHD, HBAN, BRO, AFL, EMN, SJM","ROP, GL, AVY, ATO, AEE, ADM, FE, PPG, ED, APD, SWK, RHI, VMC, CINF, DTE, DOV, PNW, SNA, LNC, STT, INCY, TER, NTRS, BAX, CMS"
2004-12,"JBHT, COO, TTWO, ROK, DHI, FRT, POOL, HOLX, CMI, NUE, EIX, AOS, ROL, ESS, CHD, IEX, MHK, MAA, BXP, FDS, HBAN, EMN, ATO, BRO, ROP","FE, AFL, SJM, ADM, AEE, ED, GL, PPG, APD, CINF, SWK, DTE, AVY, PNW, VMC, DOV, SNA, LNC, RHI, STT, NTRS, TER, BAX, INCY, CMS"
2005-01,"JBHT, HOLX, COO, DHI, ROK, FRT, TTWO, POOL, CMI, ROL, EIX, CHD, NUE, BXP, MAA, ESS, AOS, FDS, IEX, BRO, AFL, MHK, EMN, ADM, HBAN","SJM, ATO, GL, PPG, AEE, ED, FE, APD, CINF, ROP, PNW, DTE, AVY, VMC, SWK, DOV, RHI, SNA, LNC, STT, NTRS, BAX, TER, INCY, CMS"
2005-02,"COO, JBHT, ROK, HOLX, DHI, FRT, TTWO, POOL, CMI, EIX, ROL, NUE, CHD, MAA, BXP, ESS, ADM, IEX, MHK, SJM, AFL, PPG, ATO, EMN, FDS","GL, HBAN, AEE, AOS, APD, ED, BRO, VMC, CINF, FE, DTE, SWK, PNW, ROP, RHI, AVY, SNA, DOV, LNC, STT, INCY, NTRS, BAX, CMS, TER"
2005-03,"JBHT, COO, ROK, HOLX, DHI, POOL, FRT, TTWO, NUE, ROL, EIX, CHD, BXP, CMI, MAA, ESS, ADM, IEX, AFL, SJM, AEE, FDS, PPG, EMN, ATO","AOS, MHK, BRO, ROP, HBAN, APD, FE, ED, GL, DTE, VMC, CINF, PNW, RHI, AVY, SWK, SNA, DOV, LNC, INCY, STT, NTRS, BAX, CMS, TER"
2005-04,"COO, JBHT, ROK, DHI, TTWO, HOLX, FRT, POOL, ROL, EIX, CHD, NUE, ADM, BXP, MAA, CMI, IEX, SJM, ESS, BRO, AOS, MHK, PPG, FE, EMN","AEE, ROP, HBAN, AFL, ATO, FDS, GL, APD, VMC, ED, DTE, AVY, CINF, PNW, SWK, SNA, DOV, LNC, RHI, STT, CMS, INCY, NTRS, BAX, TER"
2005-05,"JBHT, COO, ROL, DHI, HOLX, FRT, ROK, POOL, EIX, CHD, BXP, NUE, MAA, CMI, ESS, TTWO, SJM, IEX, FE, ROP, AEE, ADM, AFL, PPG, EMN","BRO, GL, FDS, ATO, APD, HBAN, ED, VMC, MHK, DTE, AOS, SNA, PNW, SWK, DOV, LNC, CINF, INCY, RHI, STT, AVY, CMS, NTRS, BAX, TER"
2005-06,"JBHT, COO, DHI, POOL, ROL, FRT, ROK, HOLX, EIX, MAA, BXP, CMI, ESS, TTWO, ROP, CHD, SJM, NUE, FDS, AEE, FE, IEX, ADM, ATO, AFL","EMN, ED, GL, HBAN, VMC, BRO, AOS, APD, PNW, PPG, MHK, DTE, INCY, SWK, SNA, DOV, LNC, STT, CINF, RHI, AVY, NTRS, CMS, BAX, TER"
