date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD;portfolio
28.02.2002;-6.83%;-0.65%;-1.61%;-4.97%;4.86%;-0.63%;2.81%;4.44%;10.32%;-4.51%;0.94%;6.57%;3.61%;1.02%;-0.46%;2.27%;9.56%;2.29%;-11.45%;-1.61%;3.50%;6.04%;5.37%;-2.07%;5.72%;-25.49%;-15.55%;0.08%;2.01%;14.50%;-7.31%;-5.52%;4.83%;2.77%;5.68%;-0.80%;2.60%;-6.32%;5.71%;9.12%;-5.73%;13.84%;12.22%;4.16%;0.38%;-0.15%;5.69%;7.56%;0.63%;4.99%;
31.03.2002;10.89%;0.95%;15.01%;4.93%;6.49%;7.28%;4.73%;8.58%;14.39%;5.50%;0.23%;-5.36%;3.97%;9.85%;4.11%;6.01%;10.89%;10.08%;17.89%;-4.58%;2.03%;0.25%;6.78%;20.89%;3.35%;8.28%;21.13%;-0.94%;1.95%;-4.51%;11.07%;13.70%;5.55%;11.81%;7.86%;13.49%;2.51%;6.40%;-0.41%;-2.77%;9.23%;-7.85%;17.67%;-1.13%;7.89%;5.61%;7.24%;-4.64%;-10.08%;-4.42%;
30.04.2002;22.20%;-4.74%;1.36%;-0.86%;-6.60%;-4.40%;0.28%;7.89%;-9.91%;-14.45%;11.81%;2.65%;-9.12%;0.83%;4.01%;8.36%;-8.74%;1.11%;-13.68%;-3.70%;6.98%;1.49%;3.83%;5.05%;-2.81%;-31.01%;-7.88%;-5.58%;2.26%;7.06%;-11.37%;-8.73%;0.92%;-3.37%;-4.74%;-11.04%;7.03%;-7.54%;-6.96%;2.66%;-7.53%;0.50%;-16.43%;-3.20%;24.88%;-4.27%;1.40%;5.50%;5.73%;-2.92%;
31.05.2002;-3.76%;9.65%;7.56%;4.69%;4.37%;-5.62%;5.18%;-3.16%;-13.49%;-6.71%;-5.64%;-4.96%;-4.48%;3.22%;0.41%;2.81%;4.88%;0.29%;-6.40%;3.63%;1.67%;-1.07%;-1.58%;1.66%;5.77%;-10.60%;4.35%;-5.84%;-0.53%;1.85%;-2.45%;14.06%;-7.67%;-7.64%;9.31%;-6.02%;2.19%;-15.05%;-0.25%;-4.03%;-9.10%;-8.39%;-17.81%;3.93%;2.27%;3.47%;-3.30%;2.06%;7.38%;21.57%;
30.06.2002;4.73%;-11.77%;-0.30%;-1.62%;0.64%;-17.23%;-2.56%;2.53%;-9.39%;-38.10%;-5.82%;6.40%;-1.29%;-4.62%;-3.40%;-8.90%;1.41%;4.89%;-8.54%;-2.16%;1.13%;-5.35%;-2.75%;-12.30%;-11.61%;-0.95%;8.01%;-6.29%;2.81%;-6.09%;-14.97%;-2.44%;-5.13%;-1.52%;9.09%;-5.59%;-8.27%;-4.36%;-5.33%;2.98%;-3.79%;-3.13%;-13.22%;-7.96%;-19.79%;-2.44%;2.59%;-4.01%;-11.52%;-9.70%;
31.07.2002;-7.88%;-8.52%;-1.84%;3.14%;-11.95%;-10.21%;-5.22%;-13.42%;-2.42%;-26.05%;-6.71%;-14.71%;-16.14%;-7.16%;2.63%;-22.94%;-4.58%;-5.45%;-12.43%;-7.88%;0.30%;-5.13%;2.47%;-11.61%;-7.01%;-14.86%;-10.84%;-12.64%;-3.74%;-22.80%;-9.29%;-13.91%;-10.48%;-13.92%;-7.27%;-14.38%;-7.41%;-20.24%;-8.49%;-1.85%;-4.65%;-12.00%;-36.17%;-7.67%;0.73%;0.29%;-9.34%;-0.36%;-8.67%;-10.53%;
31.08.2002;6.43%;4.19%;-2.55%;0.80%;6.01%;-9.07%;1.56%;-0.90%;-7.77%;30.05%;3.39%;-6.49%;-2.11%;4.76%;-5.04%;-8.55%;1.24%;3.53%;-4.87%;7.32%;-1.10%;3.31%;2.28%;-15.95%;0.45%;-1.13%;-9.92%;1.78%;0.16%;4.21%;7.31%;-10.37%;11.15%;-0.49%;-1.97%;-13.18%;-0.43%;17.10%;4.01%;8.51%;1.93%;-3.35%;-15.67%;-3.51%;21.02%;-2.60%;0.89%;1.46%;1.67%;11.67%;
30.09.2002;-6.67%;3.14%;0.45%;-5.45%;-10.45%;-15.82%;-1.80%;-10.45%;-19.95%;-22.12%;15.66%;-10.04%;-11.25%;-5.15%;0.13%;-16.53%;-14.93%;-6.36%;7.27%;-8.55%;0.00%;-8.27%;-9.91%;-8.84%;-8.35%;-24.18%;-0.67%;-17.54%;-1.15%;0.30%;-11.75%;-24.26%;-0.76%;-16.91%;-19.98%;-8.37%;-10.86%;-0.72%;-17.96%;1.54%;-10.80%;-5.65%;-24.11%;-6.77%;15.54%;-2.11%;1.65%;-9.25%;2.74%;6.17%;
31.10.2002;-22.73%;8.87%;-0.81%;-1.56%;5.73%;-18.10%;-2.47%;7.43%;1.44%;-2.85%;0.95%;3.49%;-1.18%;12.21%;5.84%;0.50%;-3.86%;-2.50%;3.01%;8.82%;-0.65%;4.50%;4.83%;26.12%;5.22%;6.47%;17.58%;-0.13%;-5.26%;7.85%;-7.30%;11.72%;3.98%;2.67%;5.21%;5.23%;1.72%;11.88%;13.36%;-0.25%;7.39%;-0.92%;26.15%;-7.19%;-11.10%;21.91%;2.33%;9.23%;1.33%;4.31%;
30.11.2002;22.03%;-2.13%;1.35%;2.35%;0.05%;27.86%;3.84%;1.34%;31.22%;27.08%;6.04%;-0.52%;23.88%;-1.69%;-6.62%;10.35%;7.68%;7.46%;12.98%;-2.37%;3.57%;4.00%;3.49%;11.33%;13.63%;8.30%;-0.65%;16.62%;8.15%;15.05%;11.14%;19.22%;10.56%;14.45%;6.49%;17.66%;27.19%;9.51%;14.93%;6.88%;8.77%;11.03%;35.34%;12.46%;16.10%;-1.35%;1.36%;3.53%;13.22%;-12.90%;
